disease,model,test_study,train_studies,accuracy,auc
multiple_sclerosis,CatBoost,JangiS_2016,"AshrafH_2024,CekanaviciuteE_2017,VenturaR_2019,ChoileainS_2019,ProbstelA_2020,BoussametL_2024,LingZ_2020,CoxL_2020,ShrodeR_2023,MirzaA_2024,MolesL_2024,ForbesJ_2018",0.638095238095238,0.6793964232488822
multiple_sclerosis,CatBoost,ForbesJ_2018,"AshrafH_2024,CekanaviciuteE_2017,VenturaR_2019,ChoileainS_2019,ProbstelA_2020,BoussametL_2024,LingZ_2020,CoxL_2020,ShrodeR_2023,MirzaA_2024,MolesL_2024,JangiS_2016",0.47126436781609193,0.8335106382978722
parkinsons,RandomForest,GuoX_2022,"BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.6583333333333333,0.7270465778534255
parkinsons,RandomForest,BoertienJ_2022,"GuoX_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.6263736263736264,0.6463481104651163
parkinsons,RandomForest,HillBurnsE_2017,"GuoX_2022,BoertienJ_2022,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.9391025641025641,0.9756153669197147
parkinsons,RandomForest,HopfnerF_2017,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.5344827586206896,0.5374554102259215
parkinsons,RandomForest,SampsonT_2016,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.6666666666666666,0.7638888888888888
parkinsons,RandomForest,BedarfJ_2017,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.41379310344827586,0.443452380952381
parkinsons,RandomForest,AhoV_2019,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.6992481203007519,0.7668552036199094
parkinsons,RandomForest,ArumugamM_2013,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.7803921568627451,0.8711290322580645
